Year,Universal_Credit,Personal_Independence_Payment,Housing_Benefit,Employment_and_Support_Allowance,Pension_Credit ,Carers_Allowance,Jobseekers_Allowance,Income_Support,Disability_Living_Allowance 
2023,5010,40,520,180,120,100,10,20,30
2022,5250,40,550,250,140,90,10,20,30
2021,4880,40,600,210,120,90,30,30,30
2020,1390,30,690,220,120,90,20,30,40
2019,490,130,820,250,80,110,40,40,40
2018,170,120,990,320,190,110,70,50,50
2017,50,70,1060,300,120,100,100,60,60
2016,13,0,1000,270,160,100,70,60,60
2015,0,0,590,160,120,90,100,70,70
2014,0,0,430,130,150,80,110,100,70
2013,0,0,320,0,170,80,150,130,70
2012,0,0,350,0,140,70,150,180,60
2011,0,0,300,0,140,60,150,220,60
2010,0,0,250,0,150,60,170,210,60
2009,0,0,250,0,110,50,80,250,50
2008,0,0,190,0,80,50,60,220,50
2007,0,0,100,0,130,50,60,240,40
2006,0,0,140,0,50,40,30,200,40